Teams,Beers,Stadium,Brewery 
Washington Nationals,Sierra Nevada Pale Ale,Nationals Park,Sierra Nevada Brewing Co.
Washington Nationals,Boulevard Brewing Co. Dark Truth Stout,Nationals Park,Boulevard Brewing Co.
Washington Nationals,Allagash Saison Ale,Nationals Park,Allagash Brewing Company
St. Louis Cardinals,Goose Island IPA ,Busch Stadium,Goose Island Brewing Co.
St. Louis Cardinals,,Busch Stadium,Founders
St. Louis Cardinals,,Busch Stadium,Elysian
St. Louis Cardinals,,Busch Stadium,2nd Shift
St. Louis Cardinals,,Busch Stadium,Bell Brewery
St. Louis Cardinals,,Busch Stadium,Breckenridge
St. Louis Cardinals,,Busch Stadium,4 Hands
St. Louis Cardinals,,Busch Stadium,Mother’s Brewery
St. Louis Cardinals,Goose Island Honkers ,Busch Stadium,Goose Island Brewing Co.
St. Louis Cardinals,O'Fallon Wheach,Busch Stadium,O'Fallon Brewery
St. Louis Cardinals,Shock Top Wheat,Busch Stadium,Anheuser-Busch
St. Louis Cardinals,Schlafly Pale Ale,Busch Stadium,The Schlafly Tap Room
St. Louis Cardinals,Urban Chestnut Hopfe,Busch Stadium,Urban Chestnut Brewing Company
St. Louis Cardinals,Sam Adams Boston Lager,Busch Stadium,Boston Beer Company (Samuel Adams)
St. Louis Cardinals,Boulevard Brewing Co.,Busch Stadium,Boulevard Brewing Co.
St. Louis Cardinals,Ranger IPA,Busch Stadium,New Belgium Brewing
St. Louis Cardinals,Leinenkugel,Busch Stadium,Jacob Leinenkugel Brewing Company
Baltimore Orioles,Dempsey's Rick's Red Ale,Oriole Park at Camden Yards,Dempsey's Brewing
Baltimore Orioles,,Oriole Park at Camden Yards,Union Craft Brewing
Baltimore Orioles,,Oriole Park at Camden Yards,Key Brewing
Baltimore Orioles,,Oriole Park at Camden Yards,The Brewer's Art
Baltimore Orioles,,Oriole Park at Camden Yards,Jailbreak
Baltimore Orioles,,Oriole Park at Camden Yards,Oliver Brewing Co.
Baltimore Orioles,,Oriole Park at Camden Yards,Manor Hill
Baltimore Orioles,,Oriole Park at Camden Yards,Monument City Brewing Co.
Baltimore Orioles,,Oriole Park at Camden Yards,Baltimore Beer Works
Baltimore Orioles,Dempsey's The '83 Golden Ale,Oriole Park at Camden Yards,Dempsey's Brewing
Baltimore Orioles,Flying Dog Snake Dog IPA,Oriole Park at Camden Yards,Flying Dog Brewery
Baltimore Orioles,Stone Sublimely Self-Righteous Ale,Oriole Park at Camden Yards,Stone Brewing
Baltimore Orioles,Heavy Seas Loose Canno,Oriole Park at Camden Yards,Heavy Seas Beer
Baltimore Orioles,The Raven Special Lager,Oriole Park at Camden Yards,B.W. Beer Works USA
Baltimore Orioles,Old Dominion Oak Barrel Stout,Oriole Park at Camden Yards,Fordham & Dominion Brewing Company
Baltimore Orioles,Dogfish Head Namaste,Oriole Park at Camden Yards,Dogfish Head Craft Brewery
Baltimore Orioles,Dogfish Head 90 Minute IPA,Oriole Park at Camden Yards,Dogfish Head Craft Brewery
Baltimore Orioles,Shock Top Belgian Wheat,Oriole Park at Camden Yards,Shock Top
Baltimore Orioles,Goose Island Honkers Ale,Oriole Park at Camden Yards,Goose Island Beer Co.
Baltimore Orioles,Fordham Copperhead Ale,Oriole Park at Camden Yards,Fordham Brewing Company
Baltimore Orioles,New Belgium Fat Tire,Oriole Park at Camden Yards,New Belgium Brewing
Baltimore Orioles,Oscar Blues Dale's Pale Ale,Oriole Park at Camden Yards,Oskar Blues Brewery
Baltimore Orioles,Southern Tier 422 Wheat Ale,Oriole Park at Camden Yards,Southern Tier Brewing Company
Baltimore Orioles,Lagunitas Pils,Oriole Park at Camden Yards,Lagunitas Brewing Company
Baltimore Orioles,Band of Brewers Third Shift,Oriole Park at Camden Yards,Band of Brewers
Baltimore Orioles,Anchor Steam Beer,Oriole Park at Camden Yards,Anchor Brewing Company
Baltimore Orioles,Starr Hill the Love,Oriole Park at Camden Yards,Starr Hill Brewery
Baltimore Orioles,Lancaster Strawberry Wheat,Oriole Park at Camden Yards,Lancaster Brewing Company
Baltimore Orioles,Leinenkugel Summer Shandy,Oriole Park at Camden Yards,Jacob Leinenkugel Brewing Company
Baltimore Orioles,Goose Island Sofie,Oriole Park at Camden Yards,Goose Island Beer Co.
Baltimore Orioles,Full Sail Session Black Lager,Oriole Park at Camden Yards,Full Sail Brewing Company
Baltimore Orioles,Evolution Craft Brewing Lot #3 India Pale Ale,Oriole Park at Camden Yards,Evolution Craft Brewing
Minnesota Twins,Indeed Dandy Lager,Target Field,Indeed Brewing Company
Minnesota Twins,,Target Field,Goose Island
Minnesota Twins,,Target Field,Beaver Island
Minnesota Twins,,Target Field,Fair State
Minnesota Twins,,Target Field,Insight Brewing
Minnesota Twins,,Target Field,Castle Brewing
Minnesota Twins,,Target Field,Waconia
Minnesota Twins,,Target Field,Modist 
Minnesota Twins,,Target Field,Bent Paddle
Minnesota Twins,Indeed Day Tripper,Target Field,Indeed Brewing Company
Minnesota Twins,Summit Saga,Target Field,Summit Brewing Company
Minnesota Twins,Surly Furious,Target Field,Surly Brewing Company
Minnesota Twins,Fulton Lonely Blonde,Target Field,Fulton Beer
Minnesota Twins,Grainbelt Nordeast,Target Field,Grainbelt Brewing 
Minnesota Twins,Third Street Lost Trout,Target Field,Third Street Brewhouse
Minnesota Twins,Lift Bridge Hop Dish,Target Field,Lift Bridge Brewery
Minnesota Twins,Bauhaus Brew Labs Wonderstuff Neü Bohemian Pilsner,Target Field,Bauhaus Brewery
Minnesota Twins,North Lake Brewing Company Honey Brown Lager,Target Field,North Lake Brewing Company
Cincinnati Reds,Rhinegeist Truth American IPA,Great American Ball Park,Rhinegeist 
Cincinnati Reds,,Great American Ball Park,Hudy
Cincinnati Reds,,Great American Ball Park,Taft's Ale House
Cincinnati Reds,,Great American Ball Park,Nellie
Cincinnati Reds,,Great American Ball Park,Moerlein FC
Cincinnati Reds,Mad Tree PsycHOPathy IPA,Great American Ball Park,Mad Tree
Cincinnati Reds,50 West Wire to Wire Wheat,Great American Ball Park,Fifty West Brewing Company
Cincinnati Reds,New Belgium Fat Tire Amber Ale,Great American Ball Park,New Belgium Brewing
Cincinnati Reds,Mt. Carmel Nut Brown Ale,Great American Ball Park,Mt. Carmel Brewing Company
Cincinnati Reds,Christian Moerlein Altered Pale Ale,Great American Ball Park,Christian Moerlein Brewing Company
Cincinnati Reds,Blank Slate The Lesser Path IPA,Great American Ball Park,Blank Slate Brewing
Cincinnati Reds,Listermann Leopold Belgium Blonde,Great American Ball Park,Listermann
Cincinnati Reds,Rivertown Blueberry Lager,Great American Ball Park,Rivertown Brewery & Barrel House
Cincinnati Reds,Braxton Brewing Sparky Hoppy Wheat Ale,Great American Ball Park,Braxton Brewing
Cincinnati Reds,Kentucky Bourbon Barrel Ale,Great American Ball Park,Alltech's Lexington Brewing and Distilling Co.
Cincinnati Reds,Warped Wing Ermal's Belgian Style Cream Ale,Great American Ball Park,Warped Wing Brewing Company
Cincinnati Reds,21st Amendment Hell or High Watermelon Wheat,Great American Ball Park,21st Amendment Brewery
Cincinnati Reds,Bell's Oberon Pale Wheat Ale,Great American Ball Park,Bell's Brewery
Cincinnati Reds,Founders All Day IPA,Great American Ball Park,Founders Brewing Company
Cincinnati Reds,Deschutes Mirror Pond Pale Ale,Great American Ball Park,Deschutes Brewery
Cincinnati Reds,SweetWater 420 Extra Pale Ale,Great American Ball Park,SweetWater Brewing Company
Cincinnati Reds,Yuengling Traditional Lager,Great American Ball Park,Yuengling Brewery
Cincinnati Reds,Leinenkugel's Summer Shandy,Great American Ball Park,Jacob Leinenkugel Brewing Company
Cincinnati Reds,Goose Island Urban 312 Pale Ale,Great American Ball Park,Goose Island Beer Co.
Cincinnati Reds,Sam Adams Summer Ale,Great American Ball Park,Boston Beer Company (Samuel Adams)
Kansas City Royals,Boulevard Unfiltered Wheat,Kauffman Stadium,Boulevard Brewing Co.
Kansas City Royals,,Kauffman Stadium,Sol Chelada
Kansas City Royals,,Kauffman Stadium,Harpoon
Kansas City Royals,,Kauffman Stadium,Schlafly
Kansas City Royals,,Kauffman Stadium,Avery WhiteStiegle
Kansas City Royals,,Kauffman Stadium,Deschutes
Kansas City Royals,,Kauffman Stadium,Kansas City Bier Co.
Kansas City Royals,Boulevard Tank 7 Farmhouse Ale,Kauffman Stadium,Boulevard Brewing Co.
Kansas City Royals,Sante Fe Java Stout,Kauffman Stadium,Sante Fe Brewing
Kansas City Royals,Mothers Three Blind Mice,Kauffman Stadium,Mother's Brewing Company
Kansas City Royals,Founders All-Day IPA,Kauffman Stadium,Founders
Kansas City Royals,River North White,Kauffman Stadium,River North Brewery
Kansas City Royals,Breckenridge Agave Wheat,Kauffman Stadium,Breckenridge Brewery
Kansas City Royals,Martin City Abbey,Kauffman Stadium,Martin City Brewing Company
Kansas City Royals,Duvel,Kauffman Stadium,Brouwerij Duvel Moortgat NV
Oakland Athletics,Strike Brewing Co. Wit,RingCentral Coliseum,Strike Brewing Co.
Oakland Athletics,,RingCentral Coliseum,Lagunitas
Oakland Athletics,,RingCentral Coliseum,Firestone Walker
Oakland Athletics,Strike Brewing Co. IPA,RingCentral Coliseum,Strike Brewing Co.
Oakland Athletics,Sierra Nevada Pale Ale,RingCentral Coliseum,Sierra Nevada Brewing Co.
Oakland Athletics,Drake's 1500 Pale Ale,RingCentral Coliseum,Drake's Brewing Co.
Oakland Athletics,Trumer Pil,RingCentral Coliseum,Trumer Brauerei Berkeley
Texas Rangers,Sierra Nevada Pale Ale,Globe Life Park in Arlington,Sierra Nevada Brewing Co.
Texas Rangers,,Globe Life Park in Arlington,Goose Island
Texas Rangers,,Globe Life Park in Arlington,Karbach
Texas Rangers,,Globe Life Park in Arlington,Kona
Texas Rangers,,Globe Life Park in Arlington,Four Peaks
Texas Rangers,,Globe Life Park in Arlington,Legal Draft
Texas Rangers,,Globe Life Park in Arlington,Nowhere But Texas
Texas Rangers,,Globe Life Park in Arlington,Deep Ellum
Texas Rangers,,Globe Life Park in Arlington,Rahr & Sons
Texas Rangers,,Globe Life Park in Arlington,Real Ale
Texas Rangers,,Globe Life Park in Arlington,Saint Arnold
Texas Rangers,Oskar Blues Dale's Pale Ale,Globe Life Park in Arlington,Oskar Blues Grill & Brew
Texas Rangers,Founders All Day IPA,Globe Life Park in Arlington,Founders Brewing Company
Texas Rangers,Odell 90 Shilling Ale,Globe Life Park in Arlington,Odell Brewing Company
Texas Rangers,Franconia Lager,Globe Life Park in Arlington,Franconia Brewing Company
Milwaukee Brewers,Sierra Nevada Torpedo Extra IPA,Miller Park,Sierra Nevada Brewing Co.
Milwaukee Brewers,,Miller Park,Terrapin
Milwaukee Brewers,,Miller Park,Hofbrau
Milwaukee Brewers,,Miller Park,One Barrel Brewing
Milwaukee Brewers,,Miller Park,Raised Grain
Milwaukee Brewers,,Miller Park,Titletown
Milwaukee Brewers,,Miller Park,Wisconsin Brewing
Milwaukee Brewers,,Miller Park,Fox River
Milwaukee Brewers,,Miller Park,LakeFront
Milwaukee Brewers,,Miller Park,New Glarus Brewing
Milwaukee Brewers,,Miller Park,Spotted Cow
Milwaukee Brewers,,Miller Park,Tierra Buena
Milwaukee Brewers,,Miller Park,Third Space
Milwaukee Brewers,,Miller Park,Central Water Brewing
Milwaukee Brewers,,Miller Park,Leinenkugel
Milwaukee Brewers,,Miller Park,Sprecher Brewery
Milwaukee Brewers,Sierra Nevada Pale Ale,Miller Park,Sierra Nevada Brewing Co.
Milwaukee Brewers,Bell's Oberon Ale,Miller Park,Bell's Brewery
Milwaukee Brewers,Milwaukee Brewing Company O-Gii,Miller Park,Milwaukee Brewing Company
Milwaukee Brewers,New Belgium Brewing Ranger,Miller Park,New Belgium Brewing
Pittsburgh Pirates,Bell's Two Hearted Ale,PNC Park,Bell's Brewery
Pittsburgh Pirates,,PNC Park,Cigar City
Pittsburgh Pirates,,PNC Park,Rust Rail
Pittsburgh Pirates,,PNC Park,Southern Tier
Pittsburgh Pirates,,PNC Park,Yuengling
Pittsburgh Pirates,,PNC Park,Troegs
Pittsburgh Pirates,,PNC Park,North Country
Pittsburgh Pirates,Lagunitas A Little Sumpin' Sumpin' Ale,PNC Park,Lagunitas Brewing Company
Pittsburgh Pirates,Dogfish Head Indian Brown Ale,PNC Park,Dogfish Head Craft Brewery
Pittsburgh Pirates,Victory Hop Devil Ale,PNC Park,Victory Brewing Company
Cleveland Indians,Fat Head's Head Hunter IPA,Progressive Field,Fat Head's Brewing
Cleveland Indians,,Progressive Field,Brew Kettle
Cleveland Indians,,Progressive Field,Market Garden
Cleveland Indians,,Progressive Field,Rhinegeist 
Cleveland Indians,The Brew Kettle White Rajah,Progressive Field,The Brew Kettle Brewery
Cleveland Indians,Bell's Two Hearted Ale,Progressive Field,Bell's Brewery
Cleveland Indians,Dogfish Head 60 Minute IPA,Progressive Field,Dogfish Head Craft Brewery
Cleveland Indians,Great Lakes Dortmunder Gold,Progressive Field,Great Lakes Brewing Co.
Toronto Blue Jays,Alexander Keith's Galaxy Hop Ale,Rogers Centre,Alexander Keith's
Toronto Blue Jays,,Rogers Centre,Hoegaarden
Toronto Blue Jays,,Rogers Centre,Goose Island
Toronto Blue Jays,,Rogers Centre,Mill Street Brewery
Toronto Blue Jays,,Rogers Centre,Sleemans
Toronto Blue Jays,,Rogers Centre,Hockley 
Toronto Blue Jays,,Rogers Centre,Alexander Keith’s
Toronto Blue Jays,Stella Artois,Rogers Centre,Stella Artois
Toronto Blue Jays,Labatt Canadian Ale/Labatt 50,Rogers Centre,Labatt 
Tampa Bay Rays,Samuel Adams Boston Lager,Tropicana Field,Boston Beer Company (Samuel Adams)
Tampa Bay Rays,,Tropicana Field,Cigar City
Tampa Bay Rays,,Tropicana Field,Tampa Bay Brewing
Tampa Bay Rays,,Tropicana Field,Coppertail Brewing
Tampa Bay Rays,,Tropicana Field,3 Daughters 
Tampa Bay Rays,,Tropicana Field,Big Storm
Tampa Bay Rays,,Tropicana Field,Crooked Thumb
Tampa Bay Rays,,Tropicana Field,Cycle Brewing
Tampa Bay Rays,,Tropicana Field,Green Bench Brewing Co.
Tampa Bay Rays,,Tropicana Field,Brew Hub
Tampa Bay Rays,,Tropicana Field,Saint Pete Brewing
Tampa Bay Rays,New Belgium Fat Tire Amber Ale,Tropicana Field,New Belgium Brewing
Tampa Bay Rays,Leinenkugel's Summer Shandy,Tropicana Field,Jacob Leinenkugel Brewing Company
