Teams,Beers,Stadium,Brewery,Address 
Cincinnati Reds,,Great American Ball Park,Christian Moerlein Brewing Co.,"1621 Moore St, Cincinnati, OH 45202"
New York Mets,,Citi Field,Montauk Brewing,"62 S Erie Ave, Montauk, NY 11954"
Baltimore Orioles,,Oriole Park at Camden Yards,Monument City Brewing Co.,"1 N Haven St, Baltimore, MD 21224"
San Francisco Giants,,Oracle Park,Moonraker Brewing Co.,"12970 Earhart Ave #100, Auburn, CA 95602"
St. Louis Cardinals,,Busch Stadium,Mother's Brewing Company,"215 S Grant Ave, Springfield, MO 65806"
Kansas City Royals,Mothers Three Blind Mice,Kauffman Stadium,Mother's Brewing Company,"215 S Grant Ave, Springfield, MO 65806"
Detroit Tigers,,Comerica Park,Motor City Brewing Works,"470 W Canfield St, Detroit, MI 48201"
Cincinnati Reds,Mt. Carmel Nut Brown Ale,Great American Ball Park,Mt. Carmel Brewing Company,"4362 Mt Carmel Tobasco Rd, Cincinnati, OH 45244"
Cincinnati Reds,,Great American Ball Park,Taft's Ale House,"1429 Race St, Cincinnati, OH 45202"
Arizona Diamondbacks,,Chase Field,New Belgium Brewing,"500 Linden St, Fort Collins, CO 80524"
