Teams,Beers,Stadium,Brewery,Address 
Kansas City Royals,Boulevard Tank 7 Farmhouse Ale,Kauffman Stadium,Boulevard Brewing Co.,"2501 Southwest Blvd, Kansas City, MO 64108"
Cincinnati Reds,Braxton Brewing Sparky Hoppy Wheat Ale,Great American Ball Park,Braxton Brewing,"27 W 7th St, Covington, KY 41011"
Seattle Mariners,,T-Mobile Park,Breakside,"5821 SE International Way, Milwaukie, OR 97222"
St. Louis Cardinals,,Busch Stadium,Breckenridge Brewery,"2920 Brewery Ln, Littleton, CO 80120"
Arizona Diamondbacks,,Chase Field,Breckenridge Brewery,"2920 Brewery Ln, Littleton, CO 80120"
Kansas City Royals,Breckenridge Agave Wheat,Kauffman Stadium,Breckenridge Brewery,"2920 Brewery Ln, Littleton, CO 80120"
Tampa Bay Rays,,Tropicana Field,Brew Hub,"3900 Frontage Rd S, Lakeland, FL 33815"
Cleveland Indians,,Progressive Field,Brew Kettle,"8377 Pearl Rd, Strongsville, OH 44136"
Philadelphia Phillies,Ommegang Rare Vos,Citizens Bank Park,Brewery Ommegang,"656 Co Hwy 33, Cooperstown, NY 13326"
Detroit Tigers,,Comerica Park,Brewery Vivant,"925 Cherry St SE, Grand Rapids, MI 49506"
Chicago Cubs,,Fenway Park,Broken Bat Brewing Co.,"231 E Buffalo St, Milwaukee, WI 53202"
New York Yankees,,Yankee Stadium,The Bronx Brewery,"856 E 136th St, The Bronx, NY 10454"
Chicago Cubs,,Fenway Park,Brooklyn,"79 N 11th St, Brooklyn, NY 11249"
Kansas City Royals,Duvel,Kauffman Stadium,Brouwerij Duvel Moortgat NV,"Breendonk-Dorp 58, 2870 Puurs, Belgium"
Minnesota Twins,,Target Field,Castle Brewing,"1310 W Washington St, Greenville, MI 48838"
New York Yankees,,Yankee Stadium,Catskill Brewery,"672 Old Rte 17, Livingston Manor, NY 12758"
Milwaukee Brewers,,Miller Park,Central Water Brewing,"351 Allen St, Amherst, WI 54406"
Detroit Tigers,,Comerica Park,Cheboygan,"101 N Main St, Cheboygan, MI 49721"
Los Angeles Angels of Anaheim,,Angel Stadium,Chihuahua Rico,"3107 Newport Blvd, Newport Beach, CA 92663"
Cincinnati Reds,Christian Moerlein Altered Pale Ale,Great American Ball Park,Christian Moerlein Brewing Company,"1621 Moore St, Cincinnati, OH 45202"
Pittsburgh Pirates,,PNC Park,Cigar City Brewing Company,"3924 W Spruce St, Tampa, FL 33607"
Tampa Bay Rays,,Tropicana Field,Cigar City Brewing Company,"3924 W Spruce St, Tampa, FL 33607"
Boston Red Sox,Cisco Brewers Whale's Tale Pale Ale,Fenway Park,Cisco Brewers Inc.,"5 Bartlett Farm Rd, Nantucket, MA 02554"
New York Mets,,Citi Field,LIC Beer Project,"39-28 23rd St, Long Island City, NY 11101"
Miami Marlins,,Marlins Park,Concrete Beach,"325 NW 24th St, Miami, FL 33127"
New York Mets,,Citi Field,Coney Island Brewery,"1904 Surf Ave, Brooklyn, NY 11224"
Tampa Bay Rays,,Tropicana Field,Coppertail Brewing,"2601 E 2nd Ave, Tampa, FL 33605"
Los Angeles Angels of Anaheim,,Angel Stadium,Coronado Brewing,"1205 Knoxville St, San Diego, CA 92110"
Los Angeles Dodgers,,Dodger Stadium,Coronado Brewing,"1205 Knoxville St, San Diego, CA 92110"
San Diego Padres,,Petco Park,Coronado Brewing,"1205 Knoxville St, San Diego, CA 92110"
Tampa Bay Rays,,Tropicana Field,Crooked Thumb,"555 10th Ave S, Safety Harbor, FL 34695"
Chicago Cubs,,Fenway Park,Cruz Banca,"904 W Randolph St, Chicago, IL 60607"
Tampa Bay Rays,,Tropicana Field,Cycle Brewing,"534 Central Ave, St. Petersburg, FL 33701"
Washington Nationals,,Nationals Park,DC Brau,"3178 Bladensburg Rd NE Suite B, Washington, DC 20018"
Texas Rangers,,Globe Life Park in Arlington,Deep Ellum Brewing Company,"2823 St Louis St, Dallas, TX 75226"
Baltimore Orioles,Dempsey's Rick's Red Ale,Oriole Park at Camden Yards,Dempsey's Brewing,"127 N Broadway, Watertown, SD 57201"
Kansas City Royals,,Kauffman Stadium,Deschutes Brewery,"315 Market St SE, Roanoke, VA 24011"
Cincinnati Reds,Deschutes Mirror Pond Pale Ale,Great American Ball Park,Deschutes Brewery,"315 Market St SE, Roanoke, VA 24011"
Washington Nationals,,Nationals Park,Devils Backbone,"50 N Wind Ln, Lexington, VA 24450"
Seattle Mariners,Diamond Knot IPA,T-Mobile Park,Diamond Knot Brewery,"4602 Chennault Beach Rd b2, Mukilteo, WA 98275"
Washington Nationals,Dogfish Head Brewery 60 Minute IPA,Nationals Park,Dogfish Head Craft Brewery,"6 Cannery Village Center, Milton, DE 19968"
Baltimore Orioles,Dogfish Head Namaste,Oriole Park at Camden Yards,Dogfish Head Craft Brewery,"6 Cannery Village Center, Milton, DE 19968"
Baltimore Orioles,Dogfish Head 90 Minute IPA,Oriole Park at Camden Yards,Dogfish Head Craft Brewery,"6 Cannery Village Center, Milton, DE 19968"
Pittsburgh Pirates,Dogfish Head Indian Brown Ale,PNC Park,Dogfish Head Craft Brewery,"6 Cannery Village Center, Milton, DE 19968"
Cleveland Indians,Dogfish Head 60 Minute IPA,Progressive Field,Dogfish Head Craft Brewery,"6 Cannery Village Center, Milton, DE 19968"
Oakland Athletics,Drake's 1500 Pale Ale,RingCentral Coliseum,Drake's Brewing Co.,"1933 Davis St #177, San Leandro, CA 94577"
Seattle Mariners,,T-Mobile Park,Dru Bru Pacific Crest,"10 Pass Life Way #3, Snoqualmie Pass, WA 98068"
Seattle Mariners,,T-Mobile Park,Ecliptic,"825 N Cook St, Portland, OR 97227"
Seattle Mariners,,T-Mobile Park,Elysian Capitol Hill Brewery,"1221 E Pike St, Seattle, WA 98122"
St. Louis Cardinals,,Busch Stadium,Elysian Capitol Hill Brewery,"1221 E Pike St, Seattle, WA 98122"
Houston Astros,,Minute Maid Park,Eureka,"941 W 18th St, Houston, TX 77008"
Baltimore Orioles,Evolution Craft Brewing Lot #3 India Pale Ale,Oriole Park at Camden Yards,Evolution Craft Brewing,"201 E Vine St, Salisbury, MD 21801"
Minnesota Twins,,Target Field,Fair State Brewing Cooperative,"2506 Central Ave NE, Minneapolis, MN 55418"
